Problem,Topology,NumNodes,TempFailProb,PermFailProb,GridSize,ItersToConverge
push_sum,grid,100,0.1,0.5,25,10
push_sum,fully_connected,200,0,0.5,5,11
push_sum,fully_connected,100,0.5,0.1,50,19
push_sum,grid,200,0.1,0.1,5,7
push_sum,imperfect_grid,100,0.1,0.1,25,8
push_sum,line,200,0,0.5,5,8
push_sum,grid,200,0.5,0.5,25,9
push_sum,fully_connected,100,0.5,0.5,5,9
push_sum,grid,200,0.1,0.1,50,7
push_sum,grid,200,0.5,0.1,5,9
push_sum,imperfect_grid,50,0.5,0,5,110
push_sum,fully_connected,200,0.5,0.1,25,13
push_sum,imperfect_grid,75,0.1,0.1,5,38
push_sum,line,100,0.1,0.1,50,19
push_sum,line,200,0,0.5,25,7
push_sum,grid,200,0.5,0.5,50,8
push_sum,grid,200,0,0.1,5,14
push_sum,line,200,0,0.1,5,7
push_sum,imperfect_grid,75,0,0,50,21
push_sum,fully_connected,200,0.1,0.5,5,7
push_sum,line,200,0.1,0.1,50,10
push_sum,line,200,0.5,0.5,50,12
push_sum,imperfect_grid,200,0,0.5,50,9
push_sum,grid,200,0,0.5,25,8
push_sum,line,200,0,0.1,25,9
push_sum,grid,200,0.1,0.5,50,7
push_sum,line,100,0.1,0.1,5,14
push_sum,grid,200,0.5,0.1,25,19
push_sum,grid,200,0.5,0.5,5,7
push_sum,fully_connected,200,0.1,0.1,50,18
push_sum,line,100,0.5,0.5,5,8
push_sum,imperfect_grid,100,0.1,0.1,5,31
push_sum,line,200,0.1,0.1,5,13
push_sum,imperfect_grid,200,0,0.5,5,9
push_sum,fully_connected,200,0,0.1,5,25
push_sum,fully_connected,100,0.1,0.1,50,39
push_sum,line,200,0,0.1,50,10
push_sum,imperfect_grid,200,0.5,0.5,5,8
push_sum,imperfect_grid,200,0.1,0.5,50,8
push_sum,grid,100,0,0.1,5,19
push_sum,imperfect_grid,200,0.1,0.5,25,9
push_sum,imperfect_grid,75,0.1,0,5,55
push_sum,imperfect_grid,100,0,0.1,50,24
push_sum,imperfect_grid,200,0.5,0.5,50,8
push_sum,imperfect_grid,20,0.1,0,5,98
push_sum,imperfect_grid,75,0.1,0.1,25,24
push_sum,fully_connected,400,0,0.5,25,9
push_sum,line,200,0.5,0.5,5,11
push_sum,imperfect_grid,75,0,0,25,44
push_sum,fully_connected,400,0.1,0.5,5,8
push_sum,imperfect_grid,100,0.1,0.1,50,28
push_sum,line,200,0.1,0.5,5,7
push_sum,grid,200,0.1,0.1,25,18
push_sum,grid,200,0,0.5,5,9
push_sum,fully_connected,5,0.5,0,50,160
push_sum,grid,200,0.1,0.5,25,7
push_sum,imperfect_grid,100,0.5,0.1,50,31
push_sum,imperfect_grid,100,0.5,0.1,5,14
push_sum,line,200,0,0.5,50,8
push_sum,grid,400,0.5,0.5,25,7
push_sum,imperfect_grid,100,0,0.1,25,22
push_sum,line,200,0.1,0.5,50,7
push_sum,fully_connected,400,0.5,0.5,25,9
push_sum,grid,400,0.5,0.5,5,9
push_sum,fully_connected,200,0.1,0.1,5,15
push_sum,fully_connected,400,0.5,0.1,25,11
push_sum,fully_connected,200,0.5,0.1,50,19
push_sum,line,200,0.1,0.5,25,7
push_sum,fully_connected,400,0.5,0.1,50,11
push_sum,imperfect_grid,200,0,0.1,5,15
push_sum,grid,400,0,0.5,50,8
push_sum,line,400,0,0.5,5,7
push_sum,fully_connected,400,0,0.5,5,7
push_sum,grid,400,0.5,0.1,25,13
push_sum,fully_connected,400,0.1,0.5,50,9
push_sum,line,200,0.1,0.1,25,10
push_sum,imperfect_grid,200,0,0.1,50,16
push_sum,line,200,0.5,0.1,5,10
push_sum,fully_connected,400,0.5,0.5,5,7
push_sum,grid,400,0.5,0.5,50,7
push_sum,fully_connected,400,0,0.5,50,9
push_sum,imperfect_grid,100,0,0.5,50,10
push_sum,line,400,0.5,0.5,5,8
push_sum,fully_connected,400,0.1,0.5,25,10
push_sum,grid,400,0.1,0.5,5,9
push_sum,imperfect_grid,200,0.1,0.1,25,22
push_sum,line,400,0.1,0.5,5,7
push_sum,fully_connected,200,0.5,0.5,5,7
push_sum,grid,400,0.5,0.1,5,11
